# arXiv:1906.06233 Fig. 9b Sibyll2.3c neutrino range
# All-flavor neutrino flux
# lg(E/eV)  E^2*phi_min [GeV/cm2/s/sr]     E^2*phi_max [GeV/cm2/s/sr]
2.064999999999999858e+01 0.000000000000000000e+00 2.635732005179763505e-10
2.075000000000000000e+01 0.000000000000000000e+00 1.381956376208610431e-10
2.085000000000000142e+01 0.000000000000000000e+00 7.287040132843002813e-11
2.094999999999999929e+01 0.000000000000000000e+00 3.404697339369298594e-11
2.105000000000000071e+01 0.000000000000000000e+00 1.251519736784535938e-11
2.114999999999999858e+01 0.000000000000000000e+00 4.982757470166639713e-12
2.125000000000000000e+01 0.000000000000000000e+00 1.471572487650203742e-12
2.135000000000000142e+01 0.000000000000000000e+00 4.313917209964099679e-13
2.144999999999999929e+01 0.000000000000000000e+00 1.748538856533866369e-13
2.155000000000000071e+01 0.000000000000000000e+00 1.585296461015679192e-14
2.164999999999999858e+01 0.000000000000000000e+00 1.582111204794434647e-15
2.175000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.185000000000000142e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.194999999999999929e+01 0.000000000000000000e+00 0.000000000000000000e+00
