# arXiv:2108.05512 Fig. 1 "UHECR nu's"
# Flavor breakdown of flux of UHECR-produced neutrinos
# energy in eV, fluxes in GeV/cm2/s/sr
# lg(E/eV)                  E^2*phi_nuE 				E^2*phi_nuMu 				E^2*phi_nuTau				E^2*phi_nubarE 				E^2*phi_nubarMu 				E^2*phi_nubarTau 
1.205000000000000071e+01	1.997350000000000067e-13	1.842110000000000014e-13	1.817640000000000119e-13	2.173640000000000066e-13	1.918880000000000099e-13	1.884789999999999989e-13
1.215000000000000036e+01	2.290890000000000147e-13	2.105579999999999950e-13	2.076889999999999999e-13	2.583629999999999867e-13	2.236910000000000007e-13	2.192560000000000050e-13
1.225000000000000000e+01	2.617100000000000026e-13	2.402750000000000036e-13	2.369739999999999857e-13	3.058960000000000024e-13	2.594369999999999880e-13	2.537160000000000167e-13
1.234999999999999964e+01	2.965330000000000149e-13	2.719629999999999994e-13	2.681989999999999864e-13	3.737959999999999958e-13	3.049950000000000045e-13	2.969570000000000139e-13
1.244999999999999929e+01	3.344340000000000066e-13	3.069700000000000036e-13	3.027460000000000107e-13	4.633400000000000230e-13	3.612390000000000120e-13	3.498100000000000008e-13
1.255000000000000071e+01	3.765180000000000017e-13	3.460529999999999897e-13	3.413360000000000008e-13	5.919400000000000001e-13	4.364150000000000140e-13	4.196310000000000221e-13
1.265000000000000036e+01	4.233579999999999819e-13	3.891329999999999939e-13	3.838319999999999845e-13	7.700759999999999995e-13	5.347049999999999920e-13	5.099949999999999893e-13
1.275000000000000000e+01	4.735129999999999838e-13	4.369520000000000146e-13	4.311729999999999844e-13	1.027370000000000094e-12	6.689329999999999730e-13	6.320990000000000312e-13
1.284999999999999964e+01	5.303029999999999871e-13	4.916489999999999582e-13	4.853760000000000111e-13	1.396309999999999934e-12	8.544599999999999760e-13	7.996379999999999699e-13
1.294999999999999929e+01	5.970429999999999633e-13	5.588969999999999560e-13	5.523029999999999944e-13	1.966789999999999943e-12	1.129959999999999963e-12	1.046339999999999962e-12
1.305000000000000071e+01	6.665269999999999729e-13	6.284140000000000323e-13	6.214419999999999687e-13	2.803790000000000112e-12	1.522899999999999903e-12	1.396030000000000060e-12
1.315000000000000036e+01	7.552150000000000288e-13	7.199329999999999576e-13	7.127209999999999880e-13	4.002490000000000245e-12	2.078309999999999855e-12	1.888869999999999806e-12
1.325000000000000000e+01	8.676090000000000041e-13	8.432709999999999719e-13	8.363949999999999919e-13	5.667039999999999650e-12	2.839730000000000058e-12	2.562549999999999820e-12
1.334999999999999964e+01	1.011799999999999990e-12	1.006040000000000023e-12	9.999929999999999780e-13	8.276310000000000305e-12	4.021830000000000040e-12	3.606109999999999868e-12
1.344999999999999929e+01	1.198680000000000099e-12	1.235859999999999946e-12	1.232530000000000000e-12	1.166089999999999932e-11	5.550880000000000274e-12	4.955090000000000043e-12
1.355000000000000071e+01	1.459479999999999957e-12	1.570350000000000069e-12	1.571990000000000050e-12	1.572690000000000077e-11	7.379990000000000343e-12	6.567180000000000296e-12
1.365000000000000036e+01	1.806239999999999986e-12	1.991250000000000022e-12	1.997459999999999851e-12	2.080799999999999939e-11	9.681720000000000069e-12	8.599129999999999933e-12
1.375000000000000000e+01	2.319650000000000117e-12	2.696340000000000202e-12	2.716410000000000135e-12	2.651310000000000019e-11	1.227110000000000009e-11	1.088609999999999983e-11
1.384999999999999964e+01	3.168579999999999813e-12	3.795090000000000139e-12	3.832250000000000357e-12	3.184520000000000006e-11	1.476609999999999865e-11	1.310480000000000046e-11
1.394999999999999929e+01	4.387230000000000078e-12	5.440550000000000279e-12	5.508180000000000063e-12	3.647070000000000130e-11	1.705279999999999939e-11	1.516260000000000084e-11
1.405000000000000071e+01	6.497670000000000121e-12	8.214230000000000634e-12	8.328019999999999485e-12	4.065099999999999874e-11	1.932090000000000020e-11	1.724130000000000086e-11
1.415000000000000036e+01	1.030720000000000035e-11	1.266250000000000022e-11	1.281099999999999943e-11	4.356809999999999971e-11	2.152459999999999979e-11	1.936700000000000017e-11
1.425000000000000000e+01	1.689480000000000108e-11	1.987090000000000088e-11	2.003730000000000147e-11	4.785819999999999816e-11	2.526250000000000065e-11	2.303319999999999923e-11
1.434999999999999964e+01	3.031650000000000072e-11	3.283690000000000036e-11	3.289010000000000179e-11	5.237760000000000171e-11	3.149100000000000142e-11	2.938580000000000026e-11
1.444999999999999929e+01	5.576150000000000307e-11	5.474790000000000101e-11	5.435390000000000087e-11	6.231790000000000046e-11	4.489759999999999884e-11	4.303950000000000296e-11
1.455000000000000071e+01	1.017460000000000021e-10	9.189389999999999479e-11	9.047840000000000108e-11	7.955820000000000243e-11	6.967869999999999793e-11	6.838249999999999625e-11
1.465000000000000036e+01	1.783749999999999915e-10	1.503939999999999927e-10	1.469799999999999929e-10	1.093479999999999981e-10	1.122380000000000006e-10	1.118900000000000008e-10
1.475000000000000000e+01	2.951490000000000010e-10	2.390659999999999994e-10	2.325659999999999960e-10	1.583440000000000014e-10	1.791169999999999978e-10	1.800569999999999966e-10
1.484999999999999964e+01	4.545220000000000151e-10	3.589509999999999943e-10	3.481389999999999907e-10	2.297789999999999982e-10	2.737759999999999757e-10	2.763459999999999988e-10
1.494999999999999929e+01	6.597939999999999862e-10	5.154919999999999607e-10	4.993130000000000313e-10	3.289820000000000019e-10	3.990999999999999970e-10	4.033990000000000149e-10
1.505000000000000071e+01	8.972259999999999786e-10	7.053480000000000338e-10	6.837260000000000438e-10	4.528110000000000197e-10	5.472909999999999871e-10	5.530330000000000278e-10
